voterId,project,amount,projectId,category,projectHash,project_alphabet_pos
21,IPFS (Interplanetary FileSystem) and IPLD,2,ID050,Other,0xb5b09424008711ce3af4a8bbd86010715d73998de6e20fd84d592dd36b2ad0d1,9
21,IPFSNEWS.CN,2,ID052,Education & Outreach,0x7bb1a190a4c05d9fdfe4db7bbb1a39d12672b0c742f822d26d94d5cdbdc9c565,9
21,IPFS Public Utilities & Gateways,0,ID051,Infrastructure & Dependencies,0x696853234692ff7d86c93e7d3f5d2c0a287b53fecc457f9fe170796935088b17,9
21,ipld-prolly-indexer,0,ID101,Tooling & Utilities,0x3c2dd3048730465d9219a0decfb5b3e05abda34c5aaeb3a1f2a2a9be1fa40431,9
21,JiaoZiFS (JZFS),2,ID054,Protocol R&D,0x9d02b56350b6406ca520051ffce52533831ff080d3a479be056ed85978450fb9,10
21,LagrangeDao,2,ID055,Product & End User UX,0x307859b0150f64ec1f631b4fce36fe2112c0bdadc9597f8a06628336aff39b9e,12
21,Lighthouse.Storage,2,ID056,Product & End User UX,0x9096256fd623d4e342e1a9347362a2f81317d7b22bee687556bc69bba2edccb6,12
21,Lotus Dependencies,4,ID058,Infrastructure & Dependencies,0x20b54ce1a1048d2670c4b1d6d7d80a30a8c5cec7b29f178b1e155ca0b0ac6c29,12
21,Lotus,0,ID057,Protocol R&D,0xc590cfbdc339cf864e3eec0adb9ac3700f9b26f0e98cc8a24a4cae5f78ea849d,12
21,MetaArk-sdk,0,ID059,Tooling & Utilities,0x9bd032a66cd082ddf317145f72b6a0c05b559a78e6c5f78c41a35c2fd5628b7d,13
