date,pledge
"2023-11-11","0.1911"
"2023-11-12","0.1913"
"2023-11-13","0.1915"
"2023-11-14","0.1915"
"2023-11-15","0.1918"
"2023-11-16","0.1912"
"2023-11-17","0.1909"
"2023-11-18","0.1911"
"2023-11-19","0.1912"
"2023-11-20","0.1914"
"2023-11-21","0.1927"
"2023-11-22","0.1921"
"2023-11-23","0.1912"
"2023-11-24","0.1914"
"2023-11-25","0.1916"
"2023-11-26","0.1921"
"2023-11-27","0.1922"
"2023-11-28","0.1915"
"2023-11-29","0.1917"
"2023-11-30","0.1926"
"2023-12-01","0.1929"
"2023-12-02","0.1926"
"2023-12-03","0.1926"
"2023-12-04","0.1927"
"2023-12-05","0.1925"
"2023-12-06","0.1923"
"2023-12-07","0.1921"
"2023-12-08","0.1945"
"2023-12-09","0.1947"
"2023-12-10","0.1928"
"2023-12-11","0.1927"
"2023-12-12","0.1942"
"2023-12-13","0.1938"
"2023-12-14","0.1929"
"2023-12-15","0.1931"
"2023-12-16","0.1930"
"2023-12-17","0.1925"
"2023-12-18","0.1925"
"2023-12-19","0.1923"
"2023-12-20","0.1921"
"2023-12-21","0.1918"
"2023-12-22","0.1916"
"2023-12-23","0.1914"
"2023-12-24","0.1912"
"2023-12-25","0.1909"
"2023-12-26","0.1907"
"2023-12-27","0.1905"
"2023-12-28","0.1902"
